CTE, steer_value
-4.676,0.815494
-4.8075,0.838428
-5.0582,0.88215
-5.1802,0.903427
-5.2989,0.924128
-5.5323,0.964833
-5.6475,0.984924
-5.7625,1
-5.8773,1
-5.9919,1
-6.2196,1
-6.3289,1
-6.4369,1
-6.6451,1
-6.7471,1
-6.8481,1
-7.0489,1
-7.1486,1
-7.2481,1
-7.4465,1
-7.5454,1
-7.741,1
-7.8354,1
-7.9195,1
-8.077,1
-8.1502,1
-8.2205,1
-8.3577,1
-8.4253,1
-8.4926,1
-8.6259,1
-8.6923,1
-8.7578,1
-8.8839,1
-8.9437,1
-9.0004,1
-9.1019,1
-9.1452,1
-9.1836,1
-9.2165,1
-9.2692,1
-9.2904,1
-9.3085,1
-9.3354,1
-9.3421,1
-9.3447,1
-9.3357,1
-9.3242,1
-9.3085,1
-9.2885,1
-9.236,1
-9.2024,1
-9.1247,1
-9.0809,1
-9.0327,1
-8.9262,1
-8.8683,1
-8.8059,1
-8.6735,1
-8.4513,1
-8.371,1
-8.287,1
-8.11,1
-8.0177,1
-7.8232,1
-7.724,1
-7.7708,1
-7.7929,1
-7.8102,1
-7.8381,1
-7.8501,1
-7.8704,1
-7.879,1
-7.8865,1
-7.8987,1
-7.9036,1
-7.9108,1
-7.9131,1
-7.9152,1
-7.9155,1
-7.9161,1
-7.9167,1
-7.9173,1
-7.919,1
-7.9196,1
-7.9205,1
-7.9208,1
-7.9215,1
-7.9234,1
-7.9247,1
-7.9266,1
-7.9276,1
-7.9298,1
-7.9312,1
-7.9326,1
-7.9354,1
-7.937,1
-7.9401,1
-7.9416,1
-7.9443,1
-7.9461,1
-7.9479,1
-7.9512,1
-7.9526,1
-7.96,1
-7.965,1
-7.9682,1
-7.9702,1
-7.974,1
